X1,X2,X3,Y,NX1,NX2,NX3,NY,,,,,,,,,,,,
6709.93,6484.14,6318.9,6657.57,-0.865316522,-0.971777102,-0.967744428,-0.980281037,,,,,,,,,,,,
6657.57,6709.93,6484.14,6426.17,-0.888892041,-0.869154986,-0.865109344,-0.877668809,,,,,,,,,,,,
6426.17,6657.57,6709.93,6559.98,-0.993081783,-0.892952736,-0.888910102,-0.901464266,,,,,,,,,,,,
6559.98,6426.17,6657.57,6632.84,-0.932832736,-0.99812461,-0.994095267,-1.006626008,,,,,,,,,,,,
6632.84,6559.98,6426.17,6603.65,-0.900026925,-0.937307633,-0.933270604,-0.94581489,,,,,,,,,,,,
6603.65,6632.84,6559.98,6746.28,-0.913169962,-0.904192582,-0.900151368,-0.912703029,,,,,,,,,,,,
6746.28,6603.65,6632.84,6862.11,-0.848949638,-0.91745951,-0.913419972,-0.925968679,,,,,,,,,,,,
6862.11,6746.28,6603.65,6889.05,-0.796796233,-0.852633821,-0.848586091,-0.861149235,,,,,,,,,,,,
6889.05,6862.11,6746.28,6905.93,-0.784666278,-0.799988798,-0.795934416,-0.808509285,,,,,,,,,,,,
6905.93,6889.05,6862.11,6953.17,-0.77706592,-0.787744501,-0.783688572,-0.796266167,,,,,,,,,,,,
6953.17,6905.93,6889.05,6798.12,-0.755795723,-0.780072499,-0.7760156,-0.788594905,,,,,,,,,,,,
6798.12,6953.17,6905.93,6748.62,-0.825608254,-0.758601802,-0.75454219,-0.767126276,,,,,,,,,,,,
6748.62,6798.12,6953.17,6869.29,-0.847896034,-0.829072412,-0.825021705,-0.837590096,,,,,,,,,,,,
6869.29,6748.62,6798.12,6950.1,-0.793563379,-0.851570285,-0.847522421,-0.860085802,,,,,,,,,,,,
6950.1,6869.29,6748.62,7015.16,-0.757178016,-0.79672547,-0.792670676,-0.805246271,,,,,,,,,,,,
7015.16,6950.1,6869.29,6968.18,-0.727884219,-0.759997124,-0.755937689,-0.768521464,,,,,,,,,,,,
6968.18,7015.16,6950.1,7091.12,-0.749037348,-0.730427193,-0.726364021,-0.738954381,,,,,,,,,,,,
7091.12,6968.18,7015.16,7154.83,-0.693682608,-0.751779719,-0.747719246,-0.760304851,,,,,,,,,,,,
7154.83,7091.12,6968.18,7157.64,-0.664996659,-0.695903184,-0.691835649,-0.704433699,,,,,,,,,,,,
7157.64,7154.83,7091.12,7196.75,-0.663731434,-0.666946831,-0.662875637,-0.675480136,,,,,,,,,,,,
7196.75,7157.64,7154.83,7238.92,-0.646121836,-0.665669679,-0.661598324,-0.674203107,,,,,,,,,,,,
7238.92,7196.75,7157.64,7342.62,-0.627134449,-0.647894087,-0.643820485,-0.656429227,,,,,,,,,,,,
7342.62,7238.92,7196.75,7402.96,-0.580442676,-0.628727717,-0.624651693,-0.637264704,,,,,,,,,,,,
7402.96,7342.62,7238.92,7509.76,-0.553274097,-0.58159581,-0.57751383,-0.590137337,,,,,,,,,,,,
7509.76,7402.96,7342.62,7579.98,-0.505186524,-0.55417113,-0.550085685,-0.5627153,,,,,,,,,,,,
7579.98,7509.76,7402.96,7733.36,-0.473569395,-0.505630265,-0.501538685,-0.514179111,,,,,,,,,,,,
7733.36,7579.98,7509.76,7865.94,-0.404508795,-0.4737151,-0.469619488,-0.482267022,,,,,,,,,,,,
7865.94,7733.36,7579.98,7925.92,-0.344813566,-0.404003509,-0.399899088,-0.412562147,,,,,,,,,,,,
7925.92,7865.94,7733.36,8180.97,-0.317807081,-0.34374557,-0.339633534,-0.352310014,,,,,,,,,,,,
8180.97,7925.92,7865.94,8253.34,-0.202968732,-0.316484511,-0.31236903,-0.325051581,,,,,,,,,,,,
8253.34,8180.97,7925.92,8285.48,-0.170383548,-0.200563653,-0.196433523,-0.209141891,,,,,,,,,,,,
8285.48,8253.34,8180.97,8261.28,-0.15591225,-0.167671308,-0.163537022,-0.176252715,,,,,,,,,,,,
8261.28,8285.48,8253.34,8404.49,-0.166808498,-0.153063598,-0.148927466,-0.161646413,,,,,,,,,,,,
8404.49,8261.28,8285.48,8206.16,-0.102327024,-0.164062558,-0.159927816,-0.172644313,,,,,,,,,,,,
8206.16,8404.49,8261.28,8496.36,-0.191626729,-0.098973258,-0.09483029,-0.107561284,,,,,,,,,,,,
8496.36,8206.16,8404.49,8792.7,-0.060961805,-0.189114735,-0.184983159,-0.197694077,,,,,,,,,,,,
8792.7,8496.36,8206.16,8863.34,0.072467703,-0.057218114,-0.05306987,-0.065810164,,,,,,,,,,,,
8863.34,8792.7,8496.36,9218.63,0.104273941,0.077469152,0.081634416,0.068864126,,,,,,,,,,,,
9218.63,8863.34,8792.7,9588.46,0.264246169,0.109575207,0.113744528,0.100967088,,,,,,,,,,,,
9588.46,9218.63,8863.34,9574.11,0.430765151,0.271055394,0.275245121,0.262431718,,,,,,,,,,,,
9574.11,9588.46,9218.63,9603.73,0.424303946,0.439144048,0.443355016,0.430504176,,,,,,,,,,,,
9603.73,9574.11,9588.46,10000.17,0.437640593,0.432621937,0.436832081,0.423982694,,,,,,,,,,,,
10000.17,9603.73,9574.11,10304.72,0.616140945,0.446084301,0.450296146,0.437443761,,,,,,,,,,,,
10304.72,10000.17,9603.73,10079.2,0.753267073,0.626267265,0.63050188,0.617609365,,,,,,,,,,,,
10079.2,10304.72,10000.17,9638.17,0.651724849,0.764685997,0.768938103,0.756014761,,,,,,,,,,,,
9638.17,10079.2,10304.72,9499.42,0.453147485,0.662186596,0.66642575,0.653525236,,,,,,,,,,,,
9499.42,9638.17,10079.2,9098.48,0.390674163,0.461737366,0.465951189,0.453095318,,,,,,,,,,,,
9098.48,9499.42,9638.17,8698.88,0.210147649,0.398675147,0.402881001,0.390039174,,,,,,,,,,,,
8698.88,9098.48,9499.42,8315.67,0.030224481,0.216446921,0.220629747,0.207828505,,,,,,,,,,,,
8315.67,8698.88,9098.48,7964.95,-0.142318956,0.034827729,0.038987604,0.026226811,,,,,,,,,,,,
